Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,,,HCN,,
Rouge,179,N 43.80512°,O 079.18641°,0,1261,0,0,1,,,,,
Rouge,180,N 43.80515°,O 079.18661°,0,1262,0,0,0,,,,,
Rouge,181,N 43.80505°,O 079.18690°,0,1263,0,0,0,,,,,
Rouge,182,N 43.80498°,O 079.18713°,0,1264,0,1,0,,,,,
Rouge,183,N 43.80497°,O 079.18736°,0,1265,1,1,1,,,,,
Rouge,184,N 43.80486°,O 079.18762°,0,1266,0,1,0,,,,,
Rouge,185,N 43.80482°,O 079.18795°,0,1267,0,0,0,,,,,
Rouge,186,N 43.80471°,O 079.18826°,0,1268,0,1,0,,,,,
Rouge,187,N 43.80467°,O 079.18851°,0,1269,1,1,1,,,,,
Rouge,188,N 43.80466°,O 079.18873°,0,1270,0,0,0,,,,,
Rouge,189,N 43.80458°,O 079.18900°,2,1271,0,1,0,,,,,
Rouge,190,N 43.80468°,O 079.18925°,0,1272,0,0,0,,,,,
Rouge,191,N 43.80451°,O 079.18943°,2,1273,0,0,0,,,,,
Rouge,192,N 43.80445°,O 079.18966°,43,1274,0,1,0,,,,,
Rouge,193,N 43.81512°,O 079.14933°,0,1284,1,1,1,,,,,
Rouge,194,N 43.81518°,O 079.14900°,8,1285,0,0,0,,,,,
Rouge,195,N 43.81520°,O 079.14867°,0,1286,1,1,1,,,,,
Rouge,196,N 43.81511°,O 079.14848°,0,1287,0,0,0,,,,,
Rouge,197,N 43.81515°,O 079.14826°,2,1288,0,1,0,,,,,
Rouge,198,N 43.81525°,O 079.14804°,0,1289,1,1,1,,,,,
Rouge,199,N 43.81542°,O 079.14797°,0,1290,0,1,0,,,,,
Rouge,200,N 43.81532°,O 079.14762°,0,1291,1,1,1,,,,,
Rouge,201,N 43.81537°,O 079.14742°,4,1292,0,1,0,,,,,
Rouge,202,N 43.81535°,O 079.14719°,0,1293,0,1,0,,,,,
Rouge,203,N 43.81547°,O 079.14701°,3,1294,0,1,0,,,,,
