Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,,,HCN,,
High Park,151,N 43.64679°,O 079.44225°,0,772,0,0,0,,,,,
High Park,152,N 43.64674°,O 079.44199°,8,773,1,1,1,,,,,
High Park,153,N 43.64689°,O 079.44186°,0,774,1,1,1,,,,,
High Park,154,N 43.64696°,O 079.44160°,10,775,1,1,1,,,,,
High Park,155,N 43.64690°,O 079.44135°,0,776,0,0,0,,,,,
High Park,156,N 43.64704°,O 079.44110°,0,777,0,1,0,,,,,
High Park,157,N 43.64722°,O 079.44053°,0,778,0,1,0,,,,,
High Park,158,N 43.64704°,O 079.44051°,0,779,0,0,1,,,,,
High Park,159,N 43.64678°,O 079.44039°,0,780,1,1,1,,,,,
High Park,160,N 43.64672°,O 079.44009°,0,781,0,1,0,,,,,
High Park,161,N 43.64681°,O 079.43991°,0,782,1,1,1,,,,,
High Park,162,N 43.64698°,O 079.43982°,0,783,0,1,0,,,,,
High Park,163,N 43.64698°,O 079.43935°,0,784,0,1,0,,,,,
High Park,164,N 43.64702°,O 079.43904°,0,785,0,1,0,,,,,
High Park,165,N 43.64785°,O 079.43893°,1,786,0,1,0,,,,,
High Park,166,N 43.64795°,O 079.43871°,1,787,1,1,1,,,,,
High Park,167,N 43.64794°,O 079.43830°,0,788,1,1,1,,,,,
High Park,168,N 43.64801°,O 079.43810°,0,789,1,1,1,,,,,
High Park,169,N 43.64824°,O 079.43753°,0,790,0,0,1,,,,,
High Park,170,N 43.64821°,O 079.43730°,0,791,0,1,0,,,,,
High Park,171,N 43.64831°,O 079.43697°,0,792,0,0,1,,,,,
High Park,172,N 43.64836°,O 079.43675°,0,793,1,1,1,,,,,
High Park,173,N 43.64845°,O 079.43652°,0,794,0,1,0,,,,,
High Park,174,N 43.64848°,O 079.43627°,4,795,0,1,0,,,,,
High Park,175,N 43.64855°,O 079.43604°,0,796,0,1,0,,,,,
High Park,176,N 43.64832°,O 079.43587°,0,797,1,1,1,,,,,
High Park,177,N 43.64848°,O 079.43557°,0,798,0,0,0,,,,,
High Park,178,N 43.64859°,O 079.43513°,0,799,0,1,0,,,,,
High Park,179,N 43.64844°,O 079.43497°,0,800,1,1,1,,,,,
High Park,180,N 43.64827°,O 079.43486°,0,801,0,0,0,,,,,
High Park,181,N 43.64834°,O 079.43439°,3,802,1,1,1,,,,,
High Park,182,N 43.64852°,O 079.43384°,0,803,0,0,0,,,,,
High Park,183,N 43.64860°,O 079.43362°,2,804,1,1,1,,,,,
High Park,184,N 43.64864°,O 079.43335°,4,805,0,0,0,,,,,
High Park,185,N 43.64843°,O 079.43314°,0,806,0,0,0,,,,,
High Park,186,N 43.64801°,O 079.43301°,0,807,0,0,0,,,,,
High Park,187,N 43.64790°,O 079.43301°,2,808,0,1,0,,,,,
High Park,188,N 43.64772°,O 079.43269°,0,809,0,1,0,,,,,
High Park,189,N 43.64756°,O 079.43262°,2,810,0,1,0,,,,,
High Park,190,N 43.64752°,O 079.43240°,0,811,0,1,0,,,,,
High Park,191,N 43.64754°,O 079.43211°,0,812,0,0,0,,,,,
High Park,192,N 43.64762°,O 079.43180°,0,813,0,0,1,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
