Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,Vegetation cover m²,Asphalt m²,% Vegetation,% Asphalt,,,HCN,,,,,,,,,Centre park,
Humber,89,N 43.64541°,W 079.50215°,0,402,0,0,0,223.59,90.41,71.20700637,28.79299363,,,,,,,,,,,,,
Humber,90,N 43.64686°,W 079.50167°,2,403,0,0,0,264.49,49.51,84.23248408,15.76751592,,,,,,,,,,,,,
Humber,91,N 43.64644°,W 079.50067°,2,404,1,1,1,218.99,95.01,69.74203822,30.25796178,,,,,,,,,,,,,
Humber,92,N 43.64803°,W 079.50104°,0.5,405,1,1,1,233.7,80.3,74.42675159,25.57324841,,,,,,,,,,,,,
Humber,93,N 43.64826°,W 079.50008°,2,406,1,1,1,204.4,109.6,65.0955414,34.9044586,,,,,,,,,,,,,
Humber,94,N 43.64835°,W 079.50267°,1,407,1,1,1,271.69,42.31,86.52547771,13.47452229,,,,,,,,,,,,,
Humber,95,N 43.64742°,W 079.50269°,0,408,0,0,1,265.07,48.93,84.41719745,15.58280255,,,,,,,,,,,,,
Humber,96,N 43.64671°,W 079.50304°,2,409,1,1,1,200.97,113.03,64.00318471,35.99681529,,,,,,,,,,,,,
Humber,97,N 43.64524°,O 079.50391°,0,410,0,0,1,192.15,121.85,61.19426752,38.80573248,,,,,,,,,,,,,
Humber,98,N 43.64524°,O 079.50417°,1,411,0,1,0,152.96,161.04,48.7133758,51.2866242,,,,,,,,,,,,,
Humber,99,N 43.64511°,O 079.50439°,3,412,0,1,0,78.4,235.6,24.96815287,75.03184713,,,,,,,,,,,,,
Humber,100,N 43.64503°,O 079.50460°,0.5,413,1,1,1,100.99,213.01,32.16242038,67.83757962,,,,,,,,,,,,,
Humber,101,N 43.64499°,O 079.50489°,0,414,0,1,0,105.67,208.33,33.65286624,66.34713376,,,,,,,,,,,,,
Humber,102,N 43.64482°,O 079.50513°,0,415,0,0,1,122.01,191.99,38.8566879,61.1433121,,,,,,,,,,,,,
Humber,103,N 43.64485°,O 079.50534°,2,416,1,1,1,159.44,154.56,50.77707006,49.22292994,,,,,,,,,,,,,
Humber,104,N 43.64467°,O 079.50559°,4,417,0,0,0,139.06,174.94,44.2866242,55.7133758,,,,,,,,,,,,,
Humber,105,N 43.64462°,O 079.50583°,0,418,0,0,1,144.1,169.9,45.89171975,54.10828025,,,,,,,,,,,,,
Humber,106,N 43.64460°,O 079.50616°,0,419,0,1,0,83.47,230.53,26.58280255,73.41719745,,,,,,,,,,,,,
Humber,107,N 43.64449°,O 079.50636°,0,420,1,1,1,139.99,174.01,44.58280255,55.41719745,,,,,,,,,,,,,
Humber,108,N 43.64454°,O 079.50662°,2,421,1,1,1,160.5,153.5,51.11464968,48.88535032,,,,,,,,,,,,,
Humber,109,N 43.64435°,O 079.50684°,0,422,1,1,1,105.46,208.54,33.58598726,66.41401274,,,,,,,,,,,,,
Humber,110,N 43.64426°,O 079.50708°,2,423,1,1,1,108.42,205.58,34.52866242,65.47133758,,,,,,,,,,,,,
Humber,111,N 43.64423°,O 079.50734°,3,424,0,1,0,103.53,210.47,32.97133758,67.02866242,,,,,,,,,,,,,
Humber,112,N 43.64415°,O 079.50767°,0,425,0,0,0,145.91,168.09,46.46815287,53.53184713,,,,,,,,,,,,,
Humber,113,N 43.64423°,O 079.50789°,1,426,0,0,1,84.82,229.18,27.01273885,72.98726115,,,,,,,,,,,,,
Humber,114,N 43.64421°,O 079.50817°,1,427,0,0,0,67.46,246.54,21.48407643,78.51592357,,,,,,,,,,,,,
Humber,115,N 43.64415°,O 079.50843°,0.5,428,1,1,1,154.98,159.02,49.3566879,50.6433121,,,,,,,,,,,,,
Humber,116,N 43.64410°,O 079.50870°,3,429,1,1,1,141.45,172.55,45.0477707,54.9522293,,,,,,,,,,,,,
Humber,117,N 43.64405°,O 079.50894°,4,430,1,1,1,177.45,136.55,56.51273885,43.48726115,,,,,,,,,,,,,
Humber,118,N 43.64401°,O 079.50916°,8,431,0,0,1,94.02,219.98,29.94267516,70.05732484,,,,,,,,,,,,,
Humber,119,N 43.64397°,O 079.50941°,0,432,0,1,0,104.16,209.84,33.17197452,66.82802548,,,,,,,,,,,,,
Humber,120,N 43.64389°,O 079.50965°,0,433,1,1,1,168.06,145.94,53.52229299,46.47770701,,,,,,,,,,,,,
Humber,121,N 43.64392°,O 079.50988°,0,434,0,0,0,102.63,211.37,32.68471338,67.31528662,,,,,,,,,,,,,
Humber,122,N 43.64409°,O 079.50997°,0,435,0,1,0,107.49,206.51,34.23248408,65.76751592,,,,,,,,,,,,,
Humber,123,N 43.64410°,O 079.51020°,6,436,0,1,0,156.23,157.77,49.75477707,50.24522293,,,,,,,,,,,,,
Humber,124,N 43.64405°,O 079.51044°,0,437,0,0,1,171.41,142.59,54.58917197,45.41082803,,,,,,,,,,,,,
Humber,125,N 43.64399°,O 079.51068°,2,438,0,0,1,145.69,168.31,46.39808917,53.60191083,,,,,,,,,,,,,
Humber,126,N 43.64392°,O 079.51094°,0,439,0,0,0,128.19,185.81,40.82484076,59.17515924,,,,,,,,,,,,,
Humber,127,N 43.64396°,O 079.51128°,0,440,0,0,0,125.04,188.96,39.82165605,60.17834395,,,,,,,,,,,,,
Humber,128,N 43.64381°,O 079.51144°,0,441,1,1,1,124.7,189.3,39.7133758,60.2866242,,,,,,,,,,,,,
Humber,129,N 43.64375°,O 079.51170°,0,442,0,1,0,113.6,200.4,36.17834395,63.82165605,,,,,,,,,,,,,
